날짜,체감온도,불쾌지수,우산
2016-02-01,3.9,45,0
2016-02-02,3.1,44,0
2016-02-03,4.2,44,0
2016-02-04,5.1,44,0
2016-02-05,7.9,49,0
2016-02-06,5.4,45,0
2016-02-07,3.6,44,0
2016-02-08,6.5,47,0
2016-02-09,7.8,51,0
2016-02-10,8.1,49,0
2016-02-11,12.1,52,0
2016-02-12,9.5,46,1
2016-02-13,14.3,53,0
2016-02-14,6.5,45,0
2016-02-15,-0.6,43,0
2016-02-16,4.0,43,0
2016-02-17,5.7,47,0
2016-02-18,7.5,47,0
2016-02-19,10.9,51,0
2016-02-20,11.0,52,0
2016-02-21,5.9,47,0
2016-02-22,6.4,46,0
2016-02-23,10.9,52,0
2016-02-24,5.2,47,0
2016-02-25,4.5,47,0
2016-02-26,7.9,48,0
2016-02-27,12.5,54,0
2016-02-28,11.7,51,0
2016-02-29,0.6,42,0
2016-03-01,2.8,44,0
2016-03-02,8.6,50,0
2016-03-03,13.0,53,0
2016-03-04,10.3,46,1
2016-03-05,13.5,51,1
2016-03-06,16.9,58,0
2016-03-07,14.0,55,0
2016-03-08,10.7,52,0
2016-03-09,7.2,49,0
2016-03-10,6.1,49,0
2016-03-11,5.0,47,0
2016-03-12,6.8,49,0
2016-03-13,9.0,50,0
2016-03-14,10.9,52,0
2016-03-15,11.8,53,0
2016-03-16,14.3,56,0
2016-03-17,17.3,58,0
2016-03-18,12.3,50,1
2016-03-19,18.2,60,0
2016-03-20,14.4,55,0
2016-03-21,14.7,55,0
2016-03-22,16.1,57,0
2016-03-23,17.3,58,0
2016-03-24,11.2,52,0
2016-03-25,10.8,50,0
2016-03-26,11.9,52,0
2016-03-27,14.8,55,0
2016-03-28,17.0,58,0
2016-03-29,15.9,58,0
2016-03-30,20.1,62,0
2016-03-31,20.3,61,0
2016-04-01,22.7,64,0
2016-04-02,19.8,62,0
2016-04-03,15.1,55,1
2016-04-04,13.3,53,0
2016-04-05,17.6,59,0
2016-04-06,21.0,62,0
2016-04-07,15.1,55,0
2016-04-08,21.2,63,0
2016-04-09,23.9,66,0
2016-04-10,23.5,65,0
2016-04-11,12.1,51,0
2016-04-12,15.6,57,0
2016-04-13,17.3,57,1
2016-04-14,23.2,65,0
2016-04-15,20.4,62,0
2016-04-16,18.5,60,0
2016-04-17,18.8,61,0
2016-04-18,18.9,60,0
2016-04-19,19.8,61,0
2016-04-20,21.1,62,0
2016-04-21,16.9,57,1
2016-04-22,22.8,66,0
2016-04-23,19.7,61,0
2016-04-24,22.3,64,0
2016-04-25,23.8,65,0
2016-04-26,25.7,68,0
2016-04-27,12.7,53,1
2016-04-28,18.0,59,0
2016-04-29,20.4,61,0
2016-04-30,23.0,65,0
2016-05-01,24.0,66,0
2016-05-02,23.4,68,0
2016-05-03,20.4,64,1
2016-05-04,24.0,66,0
2016-05-05,24.5,66,0
2016-05-06,19.6,62,0
2016-05-07,24.6,66,0
2016-05-08,24.1,66,0
2016-05-09,21.7,64,0
2016-05-10,17.3,59,1
2016-05-11,20.7,63,0
2016-05-12,23.9,66,0
2016-05-13,22.0,64,0
2016-05-14,23.5,66,0
2016-05-15,22.1,66,0
2016-05-16,19.0,61,0
2016-05-17,25.3,66,0
2016-05-18,29.7,71,0
2016-05-19,27.3,69,0
2016-05-20,28.2,70,0
2016-05-21,27.3,69,0
2016-05-22,27.4,69,0
2016-05-23,28.1,69,0
2016-05-24,21.6,66,1
2016-05-25,26.5,70,0
2016-05-26,27.8,70,0
2016-05-27,29.3,71,0
2016-05-28,24.4,68,0
2016-05-29,23.4,67,0
2016-05-30,30.7,73,0
2016-05-31,29.8,72,0
2016-06-01,25.5,69,0
2016-06-02,26.5,68,0
2016-06-03,29.1,72,0
2016-06-04,21.9,66,1
2016-06-05,25.7,69,0
2016-06-06,20.3,64,0
2016-06-07,26.5,71,0
2016-06-08,25.8,71,0
2016-06-09,27.6,73,0
2016-06-10,27.2,72,0
2016-06-11,28.1,73,0
2016-06-12,26.8,73,0
2016-06-13,29.0,74,0
2016-06-14,28.7,73,0
2016-06-15,24.9,70,0
2016-06-16,29.1,73,0
2016-06-17,29.3,72,0
2016-06-18,29.5,73,0
2016-06-19,30.7,75,0
2016-06-20,26.6,73,1
2016-06-21,24.5,70,1
2016-06-22,24.2,70,1
2016-06-23,29.0,74,0
2016-06-24,24.0,70,1
2016-06-25,27.5,72,0
2016-06-26,29.5,73,0
2016-06-27,26.1,71,0
2016-06-28,26.6,71,0
2016-06-29,27.0,72,0
2016-06-30,28.8,75,1
2016-07-01,26.2,73,1
2016-07-02,25.1,71,1
2016-07-03,24.7,70,1
2016-07-04,28.3,76,0
2016-07-05,30.8,79,0
2016-07-06,31.3,79,0
2016-07-07,30.7,78,0
2016-07-08,29.4,76,0
2016-07-09,32.8,79,0
2016-07-10,31.6,78,0
2016-07-11,28.6,76,1
2016-07-12,28.1,75,0
2016-07-13,30.6,77,0
2016-07-14,32.0,76,0
2016-07-15,28.6,73,1
2016-07-16,26.1,71,1
2016-07-17,30.0,75,0
2016-07-18,29.9,75,0
2016-07-19,30.1,76,0
2016-07-20,30.1,76,0
2016-07-21,29.7,75,0
