,일자,석식메뉴
0,2016-02-01,"['육개장', '잡곡밥', '자반고등어구이', '건파래무침', '두부조림', '포기김치', '쌀밥']"
1,2016-02-02,"['아삭고추무침', '유산슬', '바나나', '포기김치', '콩나물밥*양념장', '어묵국']"
2,2016-02-03,"['청국장찌개', '잡곡밥', '고기전', '황태양념구이', '새송이버섯볶음', '포기김치', '쌀밥']"
3,2016-02-04,"['무피클', '우동', '군고구마', '미니김밥*겨자장', '포기김치', '멕시칸샐러드']"
4,2016-02-05,"['잡곡밥', '감자소세지볶음', '차돌박이찌개', '콩나물무침', '포기김치', '닭갈비', '쌀밥']"
5,2016-02-11,"['맑은국', '군만두', '참치회덮밥', '과일샐러드', '포기김치', '락교']"
6,2016-02-12,"['어묵볶음', '깍두기', '잡곡밥', '김치콩나물국', '물파래무침', '쌀밥', '미니함박']"
7,2016-02-15,"['등갈비김치찜', '잡곡밥', '홍합미역국', '임연수구이', '브로컬리초장', '포기김치', '쌀밥']"
8,2016-02-16,"['쇠불고기', '된장찌개', '잡곡밥', '봄동무침', '해파리겨자채', '포기김치', '쌀밥']"
9,2016-02-17,"['맑은국', '볶음밥*자장소스', '새우또띠아', '쨔샤이무침', '요플레', '포기김치']"
10,2016-02-18,"['감자채볶음', '순두부찌개', '잡곡밥', '쌈만두', '명태조림', '포기김치', '쌀밥']"
11,2016-02-19,"['석박지', '잡곡밥', '야채스틱', '바나나', '김치전', '쌀밥', '설렁탕']"
12,2016-02-22,"['부추오이생채', '떡갈비조림', '잡곡밥', '옹심이만두국', '포기김치', '청포묵무침', '쌀밥']"
13,2016-02-23,"['통배추겉절이', '잡곡밥', '해물까스&타르타르소스', '미역레몬초무침', '볶음쌀국수', '쌀밥', '콩비지찌개']"
14,2016-02-24,"['매운돼지갈비찜', '열무된장국', '잡곡밥', '멸치호두볶음', '숙주나물', '포기김치', '쌀밥']"
15,2016-02-25,"['(오븐에', '교자만두', '무피클', '잔치국수', '포기김치', '멕시칸샐러드', '찜)', '김밥']"
16,2016-02-26,"['잡곡밥', '닭개장', '삼치구이', '꽃맛살볶음', '청경채사과무침', '포기김치', '쌀밥']"
17,2016-02-29,"['두부양념조림', '꽁치한마리구이', '잡곡밥', '구이김', '포기김치', '버섯들깨탕', '쌀밥']"
