,일자,중식메뉴
0,2016-02-01,"['쇠불고기', '오징어찌개', '요구르트', '잡곡밥', '계란찜', '포기김치', '청포묵무침', '쌀밥']"
1,2016-02-02,"['요구르트', '잡곡밥', '배추겉절이', '마늘쫑무침', '모둠소세지구이', '가자미튀김', '김치찌개', '쌀밥']"
2,2016-02-03,"['카레덮밥', '치킨핑거', '팽이장국', '요구르트', '견과류조림', '쫄면야채무침', '포기김치']"
3,2016-02-04,"['요구르트', '잡곡밥', '부추전', '주꾸미볶음', '쇠고기무국', '시금치나물', '포기김치', '쌀밥']"
4,2016-02-05,"['돈육씨앗강정', '우엉잡채', '떡국', '요구르트', '잡곡밥', '포기김치', '청경채무침', '쌀밥']"
5,2016-02-11,"['시래기국', '쌈무', '요구르트', '잡곡밥', '훈제오리구이', '양파절임', '도토리묵무침', '포기김치', '쌀밥']"
6,2016-02-12,"['유채나물', '돈육굴소스볶음', '요구르트', '잡곡밥', '옥수수전', '꽃게탕', '포기김치', '쌀밥']"
7,2016-02-15,"['요구르트', '연두부*양념장', '잡곡밥', '닭감자조림', '포기김치', '쌀밥', '콩나물무침', '시금치국']"
8,2016-02-16,"['취나물', '오징어숙회무침', '요구르트', '잡곡밥', '쇠고기무국', '탕수어', '포기김치', '쌀밥']"
9,2016-02-17,"['치커리무침', '냉이된장국', '요구르트', '잡곡밥', '통도라지구이', '쇠고기장조림', '포기김치', '쌀밥']"
10,2016-02-18,"['유부장국', '해초무침', '요구르트', '고구마치즈구이', '낙지비빔밥', '포기김치']"
11,2016-02-19,"['대구찌개', '치킨무', '요구르트', '잡곡밥', '돌나물무침', '마늘간장치킨', '새송이버섯볶음', '포기김치', '쌀밥']"
12,2016-02-22,"['부럼', '요구르트', '호박꼬지&고사리&무나물', '쇠고기느타리국', '갈치구이', '포기김치', '오곡밥', '파래김*양념장', '쌀밥']"
13,2016-02-23,"['요구르트', '콩나물국', '잡곡밥', '돈육간장볶음', '꽃상추무침', '버섯잡채', '포기김치', '쌀밥']"
14,2016-02-24,"['팽이장국', '비빔밥', '요구르트', '소세지피망볶음', '맛탕', '포기김치', '귤']"
15,2016-02-25,"['요구르트', '새싹두부구이', '잡곡밥', '곰피초장', '북어계란국', '포기김치', '닭갈비', '쌀밥']"
16,2016-02-26,"['도라지초무침', '요구르트', '잡곡밥', '오징어볶음', '수제비국', '계란찜', '포기김치', '쌀밥']"
17,2016-02-29,"['늙은호박전', '요구르트', '잡곡밥', '제육볶음', '얼갈이된장국', '치커리생채', '포기김치', '쌀밥']"
18,2016-03-02,"['맛살계란말이', '아삭고추무침', '잡곡밥', '주꾸미볶음', '쇠고기미역국', '포기김치', '쌀밥']"
19,2016-03-03,"['요구르트', '새송이버섯조림', '근대된장국', '잡곡밥', '무생채', '탕수육', '포기김치', '쌀밥']"
20,2016-03-04,"['깍두기', '메추리알조림', '잡곡밥', '열무된장나물', '가자미튀김', '부대찌개', '쌀밥']"
21,2016-03-07,"['콩나물국', '잡곡밥', '모둠묵*양념장', '포기김치', '닭갈비', '톳두부무침', '쌀밥']"
22,2016-03-08,"['깍두기', '잡곡밥', '고등어김치말이', '풋마늘초무침', '차돌박이찌개', '소세지구이', '쌀밥']"
23,2016-03-09,"['잡곡밥', '홍어무침', '돈육장조림', '북어국', '시금치나물', '포기김치', '쌀밥']"
24,2016-03-10,"['고추장찌개', '취나물', '해물파전', '닭데리야끼조림', '잡곡밥', '포기김치', '쌀밥']"
25,2016-03-11,"['수제돈가스', '탕평채', '잡곡밥', '배추된장국', '쫄면무침', '포기김치', '쌀밥']"
26,2016-03-14,"['모둠양채쌈*쌈장', '잡곡밥', '돈육고추장볶음', '포기김치', '쌀밥', '콩나물파채무침', '어묵국']"
27,2016-03-15,"['골뱅이무침*소면', '잡곡밥', '마늘쫑볶음', '쑥국', '소불고기', '포기김치', '쌀밥']"
28,2016-03-16,"['곤드레밥', '무나물', '두부계란부침', '포기김치', '미니채소떡갈비', '콩나물김치국']"
