일자,년,월,일,요일,휴일전날,중식메뉴,석식메뉴
2016-02-01,2016,2,1,0,0,"['계란찜', '청포묵무침', '잡곡밥', '쌀밥', '오징어찌개', '쇠불고기', '요구르트', '포기김치']","['두부조림', '건파래무침', '잡곡밥', '쌀밥', '자반고등어구이', '육개장', '포기김치']"
2016-02-02,2016,2,2,1,0,"['김치찌개', '배추겉절이', '모둠소세지구이', '가자미튀김', '잡곡밥', '쌀밥', '마늘쫑무침', '요구르트']","['콩나물밥*양념장', '어묵국', '바나나', '포기김치', '아삭고추무침', '유산슬']"
2016-02-03,2016,2,3,2,0,"['카레덮밥', '쫄면야채무침', '견과류조림', '요구르트', '팽이장국', '치킨핑거', '포기김치']","['고기전', '청국장찌개', '황태양념구이', '잡곡밥', '쌀밥', '새송이버섯볶음', '포기김치']"
2016-02-04,2016,2,4,3,0,"['쇠고기무국', '주꾸미볶음', '부추전', '시금치나물', '잡곡밥', '쌀밥', '요구르트', '포기김치']","['무피클', '우동', '멕시칸샐러드', '군고구마', '미니김밥*겨자장', '포기김치']"
2016-02-05,2016,2,5,4,1,"['돈육씨앗강정', '떡국', '잡곡밥', '쌀밥', '요구르트', '청경채무침', '우엉잡채', '포기김치']","['차돌박이찌개', '콩나물무침', '감자소세지볶음', '닭갈비', '잡곡밥', '쌀밥', '포기김치']"
2016-02-11,2016,2,11,3,0,"['시래기국', '쌈무', '양파절임', '훈제오리구이', '잡곡밥', '쌀밥', '도토리묵무침', '요구르트', '포기김치']","['과일샐러드', '락교', '군만두', '참치회덮밥', '맑은국', '포기김치']"
2016-02-12,2016,2,12,4,0,"['돈육굴소스볶음', '꽃게탕', '옥수수전', '잡곡밥', '쌀밥', '요구르트', '유채나물', '포기김치']","['김치콩나물국', '깍두기', '잡곡밥', '쌀밥', '미니함박', '어묵볶음', '물파래무침']"
2016-02-15,2016,2,15,0,0,"['연두부*양념장', '시금치국', '콩나물무침', '잡곡밥', '닭감자조림', '쌀밥', '요구르트', '포기김치']","['임연수구이', '등갈비김치찜', '브로컬리초장', '홍합미역국', '잡곡밥', '쌀밥', '포기김치']"
2016-02-16,2016,2,16,1,0,"['쇠고기무국', '취나물', '탕수어', '잡곡밥', '쌀밥', '요구르트', '오징어숙회무침', '포기김치']","['된장찌개', '해파리겨자채', '봄동무침', '잡곡밥', '쌀밥', '쇠불고기', '포기김치']"
2016-02-17,2016,2,17,2,0,"['치커리무침', '쇠고기장조림', '잡곡밥', '쌀밥', '통도라지구이', '냉이된장국', '요구르트', '포기김치']","['새우또띠아', '요플레', '볶음밥*자장소스', '쨔샤이무침', '맑은국', '포기김치']"
2016-02-18,2016,2,18,3,0,"['해초무침', '낙지비빔밥', '요구르트', '고구마치즈구이', '유부장국', '포기김치']","['쌈만두', '순두부찌개', '잡곡밥', '쌀밥', '명태조림', '감자채볶음', '포기김치']"
2016-02-19,2016,2,19,4,0,"['치킨무', '대구찌개', '잡곡밥', '쌀밥', '마늘간장치킨', '돌나물무침', '새송이버섯볶음', '요구르트', '포기김치']","['설렁탕', '석박지', '잡곡밥', '쌀밥', '야채스틱', '바나나', '김치전']"
2016-02-22,2016,2,22,0,0,"['쇠고기느타리국', '갈치구이', '부럼', '호박꼬지&고사리&무나물', '쌀밥', '요구르트', '오곡밥', '파래김*양념장', '포기김치']","['청포묵무침', '부추오이생채', '옹심이만두국', '잡곡밥', '쌀밥', '포기김치', '떡갈비조림']"
2016-02-23,2016,2,23,1,0,"['꽃상추무침', '콩나물국', '잡곡밥', '쌀밥', '버섯잡채', '돈육간장볶음', '요구르트', '포기김치']","['콩비지찌개', '해물까스&타르타르소스', '잡곡밥', '쌀밥', '미역레몬초무침', '통배추겉절이', '볶음쌀국수']"
2016-02-24,2016,2,24,2,0,"['비빔밥', '귤', '맛탕', '요구르트', '팽이장국', '소세지피망볶음', '포기김치']","['매운돼지갈비찜', '열무된장국', '숙주나물', '잡곡밥', '쌀밥', '멸치호두볶음', '포기김치']"
2016-02-25,2016,2,25,3,0,"['새싹두부구이', '곰피초장', '북어계란국', '닭갈비', '잡곡밥', '쌀밥', '요구르트', '포기김치']","['(오븐에', '찜)', '무피클', '잔치국수', '멕시칸샐러드', '교자만두', '김밥', '포기김치']"
2016-02-26,2016,2,26,4,0,"['계란찜', '수제비국', '오징어볶음', '잡곡밥', '쌀밥', '도라지초무침', '요구르트', '포기김치']","['청경채사과무침', '삼치구이', '닭개장', '잡곡밥', '쌀밥', '꽃맛살볶음', '포기김치']"
2016-02-29,2016,2,29,0,1,"['치커리생채', '얼갈이된장국', '제육볶음', '늙은호박전', '잡곡밥', '쌀밥', '요구르트', '포기김치']","['버섯들깨탕', '잡곡밥', '쌀밥', '포기김치', '구이김', '꽁치한마리구이', '두부양념조림']"
2016-03-02,2016,3,2,2,0,"['쇠고기미역국', '주꾸미볶음', '맛살계란말이', '잡곡밥', '쌀밥', '포기김치', '아삭고추무침']","['버섯불고기', '콩나물겨자채', '된장찌개', '양념깻잎지', '잡곡밥', '쌀밥', '포기김치']"
2016-03-03,2016,3,3,3,0,"['새송이버섯조림', '탕수육', '잡곡밥', '쌀밥', '무생채', '근대된장국', '요구르트', '포기김치']","['우동', '단무지', '군고구마', '멸치주먹밥', '포기김치', '떡볶이']"
2016-03-04,2016,3,4,4,0,"['깍두기', '부대찌개', '메추리알조림', '가자미튀김', '열무된장나물', '잡곡밥', '쌀밥']","['오징어국', '부추생채', '옥수수전', '잡곡밥', '쌀밥', '포기김치', '미트볼조림']"
2016-03-07,2016,3,7,0,0,"['콩나물국', '모둠묵*양념장', '닭갈비', '잡곡밥', '쌀밥', '톳두부무침', '포기김치']","['돈육굴소스볶음', '대구찌개', '잡곡밥', '쌀밥', '감자채볶음', '포기김치', '물파래무침']"
2016-03-08,2016,3,8,1,0,"['소세지구이', '차돌박이찌개', '풋마늘초무침', '깍두기', '잡곡밥', '쌀밥', '고등어김치말이']","['카레덮밥', '과일샐러드', '가쯔오장국', '오복지', '포기김치', '수제고로케*케찹']"
2016-03-09,2016,3,9,2,0,"['북어국', '시금치나물', '잡곡밥', '쌀밥', '홍어무침', '돈육장조림', '포기김치']","['생선까스*탈탈소스', '콩나물무침', '야채계란찜', '잡곡밥', '쌀밥', '육개장', '포기김치']"
2016-03-10,2016,3,10,3,0,"['취나물', '고추장찌개', '잡곡밥', '쌀밥', '해물파전', '닭데리야끼조림', '포기김치']","['꼬들단무지', '개성감자만두', '타코야끼', '포기김치', '짬뽕', '볶음밥']"
2016-03-11,2016,3,11,4,0,"['탕평채', '쫄면무침', '잡곡밥', '쌀밥', '배추된장국', '포기김치', '수제돈가스']","['코다리무조림', '잡곡밥', '쌀밥', '고추잡채*꽃빵', '봄동겉절이', '연두부탕', '포기김치']"
2016-03-14,2016,3,14,0,0,"['콩나물파채무침', '어묵국', '모둠양채쌈*쌈장', '잡곡밥', '돈육고추장볶음', '쌀밥', '포기김치']","['참나물생채', '달래된장찌개', '잡곡밥', '쌀밥', '통도라지구이', '간장찜닭', '포기김치']"
2016-03-15,2016,3,15,1,0,"['소불고기', '마늘쫑볶음', '잡곡밥', '쌀밥', '골뱅이무침*소면', '포기김치', '쑥국']","['꽃맛살샐러드', '참치야채전', '계란파국', '오이무침', '포기김치', '짜장잡채덮밥']"
2016-03-16,2016,3,16,2,0,"['두부계란부침', '무나물', '곤드레밥', '미니채소떡갈비', '콩나물김치국', '포기김치']","['뼈해장국', '잡곡밥', '쌀밥', '포기김치', '야채스틱*쌈장', '해물청경채볶음', '버섯메밀전']"
2016-03-17,2016,3,17,3,0,"['깻순나물', '깍두기', '사골우거지국', '탕수어', '잡곡밥', '쌀밥', '파래김*양념장']","['무피클', '미니햄버거', '포기김치', '단호박범벅', '토마토스파게티', '양송이스프', '음료']"
2016-03-18,2016,3,18,4,0,"['시금치국', '쌈무', '연근땅콩조림', '부추생채', '훈제오리구이', '잡곡밥', '쌀밥', '포기김치']","['임연수찜', '어묵곤약볶음', '닭곰탕', '잡곡밥', '쌀밥', '돌나물초장', '석박지']"
2016-03-21,2016,3,21,0,0,"['버섯불고기', '꽃게탕', '잡곡밥', '쌀밥', '도토리묵무침', '포기김치', '계란말이']","['봄동겉절이', '수제비국', '잡곡밥', '쌀밥', '새송이버섯볶음', '아귀콩나물찜', '포기김치']"
2016-03-22,2016,3,22,1,0,"['쇠고기샤브국', '깍두기', '잡곡밥', '쌀밥', '두부&김치볶음', '유채나물', '코다리강정']","['가쯔오장국', '두반장가지나물', '찹쌀순대볶음', '궁중떡찜', '굴소스파인볶음밥', '포기김치']"
2016-03-23,2016,3,23,2,0,"['콩나물밥*달래장', '땅콩조림', '실곤약초무침', '치킨텐더*요거트D', '맑은국', '포기김치']","['시금치나물', '동그랑땡전', '잡곡밥', '쌀밥', '알탕', '포기김치', '마파두부']"
2016-03-24,2016,3,24,3,0,"['쇠고기장조림', '북어계란국', '오징어초무침', '시래기나물', '잡곡밥', '쌀밥', '포기김치']","['콘샐러드', '미소장국', '군만두', '참치회덮밥', '바나나', '포기김치']"
2016-03-25,2016,3,25,4,0,"['배추겉절이', '열무나물', '닭개장', '잡곡밥', '쌀밥', '비엔나볶음', '자반고등어구이']","['잡곡밥', '쌀밥', '감자채볶음', '누룽지탕수육', '청경채무침', '포기김치', '냉이된장찌개']"
2016-03-28,2016,3,28,0,0,"['취나물', '얼갈이된장국', '닭갈비', '잡곡밥', '쌀밥', '해파리냉채', '포기김치']","['해물까스*탈탈소스', '콩비지찌개', '도라지나물', '잡곡밥', '쌀밥', '포기김치', '유산슬']"
2016-03-29,2016,3,29,1,0,"['옹심이만두국', '주꾸미볶음', '새송이버섯전', '치커리유자청생채', '잡곡밥', '쌀밥', '포기김치']","['깨찰빵', '돈육씨앗강정', '해초무침', '햄볶음밥', '유부장국', '포기김치']"
2016-03-30,2016,3,30,2,0,"['봄새싹비빔밥', '알감자버터구이', '쪽파국', '오렌지', '포기김치', '오징어튀김']","['청포묵무침', '깍두기', '어묵국', '등갈비김치찜', '애호박나물', '잡곡밥', '쌀밥']"
2016-03-31,2016,3,31,3,0,"['돈육굴소스볶음', '매운콩나물국', '잡곡밥', '쌀밥', '동태전', '봄동나물', '포기김치']","['과일샐러드', '주먹밥', '잔치국수', '또띠아피자', '오이피클', '포기김치']"
2016-04-01,2016,4,1,4,0,"['버섯들깨탕', '갈치조림', '잡곡밥', '쌀밥', '우엉잡채', '포기김치', '아삭고추무침']","['계란찜', '숙주미나리나물', '쇠고기미역국', '순살깐풍기', '잡곡밥', '쌀밥', '포기김치']"
2016-04-04,2016,4,4,0,0,"['풋마늘초무침', '순두부찌개', '잡곡밥', '쌀밥', '브로컬리맛살볶음', '쇠불고기', '포기김치']","['고기전', '된장찌개', '부추생채', '고등어조림', '잡곡밥', '쌀밥', '포기김치']"
2016-04-05,2016,4,5,1,0,"['모둠소시지구이', '북어국', '시금치나물', '잡곡밥', '쌀밥', '포기김치', '오징어볶음*소면']","['가쯔오장국', '깍두기', '꽃맛살샐러드', '감자치즈구이', '단무지', '김치볶음밥']"
2016-04-06,2016,4,6,2,0,"['두부조림', '올갱이아욱국', '제육볶음', '모둠쌈*쌈장', '잡곡밥', '쌀밥', '포기김치']","['청경채생채', '탕평채', '매운버섯국', '찜닭', '잡곡밥', '쌀밥', '포기김치']"
2016-04-07,2016,4,7,3,0,"['매운돼지갈비찜', '어묵국', '잡곡밥', '쌀밥', '해물파전', '무생채', '포기김치']","['야채튀김', '우동', '오복지', '조각사과', '김밥', '포기김치']"
2016-04-08,2016,4,8,4,0,"['콩나물무침', '메추리알조림', '잡곡밥', '쌀밥', '배추된장국', '순살양념치킨', '포기김치']","['오징어국', '잡곡밥', '쌀밥', '포기김치', '미니함박', '멸치호두볶음', '치커리사과무침']"
2016-04-11,2016,4,11,0,0,"['풋마늘초무침', '시래기국', '양파절임', '훈제오리구이', '잡곡밥', '쌀밥', '무쌈', '포기김치']","['쇠고기무국', '가자미찜', '돌나물오이무침', '잡곡밥', '쌀밥', '계란야채말이', '포기김치']"
2016-04-12,2016,4,12,1,1,"['쇠고기단호박조림', '부대찌개', '시금치나물', '열무나물', '잡곡밥', '쌀밥', '포기김치']","['유부주머니국', '치킨마요덮밥', '단무지무침', '오렌지', '포기김치', '떡볶이']"
2016-04-14,2016,4,14,3,0,"['양배추쌈', '돈육굴소스볶음', '수제비국', '잡곡밥', '쌀밥', '무생채', '포기김치']","['비빔밥', '견과류조림', '피크닉', '팽이버섯장국', '새우또띠아', '포기김치']"
2016-04-15,2016,4,15,4,0,"['콩나물무침', '잡곡밥', '쌀밥', '도라지초무침', '닭데리야끼조림', '포기김치', '냉이된장찌개']","['들깨미역국', '참나물생채', '무피클', '감자범벅', '잡곡밥', '쌀밥', '포기김치', '수제돈가스']"
2016-04-18,2016,4,18,0,0,"['브로컬리두부무침', '돈육강정', '잡곡밥', '쌀밥', '배추된장국', '콩나물잡채', '포기김치']","['두반장가지나물', '야채계란찜', '꽃게탕', '잡곡밥', '쌀밥', '포기김치', '유산슬']"
2016-04-19,2016,4,19,1,0,"['고기전', '해초무침', '잡곡밥', '쌀밥', '포기김치', '육개장', '꽁치한마리구이']","['과일샐러드', '꼬들단무지', '낙지비빔밥', '유부장국', '포기김치', '새싹피자']"
2016-04-20,2016,4,20,2,0,"['청포묵무침', '부추생채', '매콤떡갈비조림', '콩나물밥', '근대된장국', '포기김치']","['닭볶음탕', '새송이버섯전', '시금치나물', '어묵국', '잡곡밥', '쌀밥', '포기김치']"
2016-04-21,2016,4,21,3,0,"['청경채생채', '대구매운탕', '옥수수전', '잡곡밥', '쌀밥', '포기김치', '쇠고기볶음']","['팽이버섯국', '해물까스*탈탈소스', '쫄면무침', '피클', '바나나', '포기김치', '오므라이스']"
2016-04-22,2016,4,22,4,0,"['북어국', '등갈비김치찜', '잡곡밥', '쌀밥', '연근조림', '열무김치', '깻잎양념지']","['탕수어', '순두부찌개', '잡곡밥', '쌀밥', '꽃맛살볶음', '취나물땅콩무침', '포기김치']"
2016-04-25,2016,4,25,0,0,"['돈간장불고기', '콩나물국', '버섯볶음', '잡곡밥', '쌀밥', '포기김치', '김치전']","['모둠묵*양념장', '순살깐풍기', '세발나물', '잡곡밥', '쌀밥', '알탕', '포기김치']"
2016-04-26,2016,4,26,1,0,"['쇠고기무국', '풋마늘대무침', '주꾸미볶음', '잡곡밥', '쌀밥', '치즈계란말이', '포기김치']","['쇠고기퀘사디아', '요플레', '단무지', '오이무침', '포기김치', '맑은국', '짜장덮밥']"
2016-04-27,2016,4,27,2,0,"['알감자버터구이', '배추겉절이', '궁중떡찜', '미소장국', '유기농식혜', '나물비빔밥']","['청국장찌개', '참나물', '코다리무조림', '잡곡밥', '쌀밥', '비엔나케찹볶음', '포기김치']"
2016-04-28,2016,4,28,3,0,"['치킨무', '콩자반', '잡곡밥', '쌀밥', '포기김치', '미역국', '동그랑땡부침', '양념파닭']","['가쯔오장국', '탕수만두', '비빔메밀국수', '참치주먹밥', '오렌지', '포기김치']"
2016-04-29,2016,4,29,4,0,"['고등어카레구이', '깍두기', '잡곡밥', '쌀밥', '돈육김치찌개', '치커리사과무침', '미트볼조림']","['시금치초장무침', '들깨버섯탕', '고추잡채*꽃빵', '잡곡밥', '쌀밥', '두부계란구이', '포기김치']"
2016-05-02,2016,5,2,0,0,"['시금치국', '닭갈비', '잡곡밥', '쌀밥', '맛살겨자채', '비름나물', '포기김치']","['북어국', '날치알계란찜', '잡곡밥', '쌀밥', '모듬양채쌈', '포기김치', '고추장불고기']"
2016-05-03,2016,5,3,1,0,"['실곤약초무침', '온두부', '볶은김치', '무채국', '곤드레밥', '모둠장조림']","['삼치구이', '탕수육', '부대찌개*라면사리', '잡곡밥', '쌀밥', '열무김치', '미역줄기볶음']"
2016-05-04,2016,5,4,2,1,"['쇠고기샤브국', '오징어볶음', '잡곡밥', '쌀밥', '무생채', '동태전', '포기김치']","['카레덮밥', '수제미니햄버거', '사과', '오렌지쥬스', '미소장국', '오이소박이', '포기김치']"
2016-05-09,2016,5,9,0,0,"['매운어묵국', '양파절임', '훈제오리구이', '잡곡밥', '쌀밥', '도토리묵무침', '무쌈', '포기김치']","['모둠소시지구이', '가자미튀김', '오이무침', '닭개장', '잡곡밥', '쌀밥', '포기김치']"
