일자,년,월,일,요일,휴일전날,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,식사가능자수,중식계,석식계,중식참여율,석식참여율,체감온도(중식),불쾌지수(중식),우산(중식),체감온도(석식),불쾌지수(석식),우산(석식),코로나신규확진자,거리두기단계
2016-02-01,2016,2,1,0,0,2601,50,150,238,0,2401,1039,331,0.4327363598500625,0.13785922532278216,3.9,45,0,3.9,45,0,0,0.0
2016-02-02,2016,2,2,1,0,2601,50,173,319,0,2378,867,560,0.36459209419680405,0.23549201009251472,3.1,44,0,3.1,44,0,0,0.0
2016-02-03,2016,2,3,2,0,2601,56,180,111,0,2365,1017,573,0.43002114164904864,0.24228329809725158,4.2,44,0,4.2,44,0,0,0.0
2016-02-04,2016,2,4,3,0,2601,104,220,355,0,2277,978,525,0.4295125164690382,0.230566534914361,5.1,44,0,5.1,44,0,0,0.0
2016-02-05,2016,2,5,4,1,2601,278,181,34,0,2142,925,330,0.43183940242763774,0.15406162464985995,7.9,49,0,7.9,49,0,0,0.0
2016-02-11,2016,2,11,3,0,2601,383,143,417,0,2075,1045,550,0.5036144578313253,0.26506024096385544,12.1,52,0,12.1,52,0,0,0.0
2016-02-12,2016,2,12,4,0,2601,389,156,93,0,2056,909,598,0.44212062256809337,0.2908560311284047,9.5,46,1,9.5,46,1,0,0.0
2016-02-15,2016,2,15,0,0,2601,87,204,482,0,2310,1268,672,0.5489177489177489,0.2909090909090909,-0.6,43,0,-0.6,43,0,0,0.0
2016-02-16,2016,2,16,1,0,2601,72,236,526,0,2293,1014,523,0.4422154382904492,0.22808547754034017,4.0,43,0,4.0,43,0,0,0.0
2016-02-17,2016,2,17,2,0,2601,78,250,23,0,2273,916,588,0.4029916410030796,0.258688957325121,5.7,47,0,5.7,47,0,0,0.0
2016-02-18,2016,2,18,3,0,2601,77,254,367,0,2270,910,489,0.4008810572687225,0.21541850220264316,7.5,47,0,7.5,47,0,0,0.0
2016-02-19,2016,2,19,4,0,2601,145,252,69,0,2204,763,597,0.34618874773139746,0.2708711433756806,10.9,51,0,10.9,51,0,0,0.0
2016-02-22,2016,2,22,0,0,2601,90,207,434,0,2304,1298,645,0.5633680555555556,0.2799479166666667,6.4,46,0,6.4,46,0,0,0.0
2016-02-23,2016,2,23,1,0,2601,57,237,488,0,2307,899,610,0.38968357173818813,0.26441265713047246,10.9,52,0,10.9,52,0,0,0.0
2016-02-24,2016,2,24,2,0,2601,54,232,14,0,2315,1022,514,0.44146868250539956,0.22203023758099352,5.2,47,0,5.2,47,0,0,0.0
2016-02-25,2016,2,25,3,0,2601,56,261,335,0,2284,917,531,0.40148861646234674,0.23248686514886166,4.5,47,0,4.5,47,0,0,0.0
2016-02-26,2016,2,26,4,0,2601,144,278,42,0,2179,766,585,0.35153740247820103,0.2684717760440569,7.9,48,0,7.9,48,0,0,0.0
2016-02-29,2016,2,29,0,1,2601,595,168,110,0,1838,869,344,0.47279651795429817,0.18715995647442873,0.6,42,0,0.6,42,0,0,0.0
2016-03-02,2016,3,2,2,0,2624,127,182,261,0,2315,1127,631,0.4868250539956803,0.27257019438444924,8.6,50,0,8.6,50,0,0,0.0
2016-03-03,2016,3,3,3,0,2624,61,224,351,0,2339,1000,473,0.4275331338178709,0.20222317229585293,13.0,53,0,13.0,53,0,0,0.0
2016-03-04,2016,3,4,4,0,2624,83,247,79,0,2294,837,673,0.36486486486486486,0.2933740191804708,10.3,46,1,10.3,46,1,0,0.0
2016-03-07,2016,3,7,0,0,2624,50,195,456,0,2379,1326,625,0.5573770491803278,0.26271542664985287,14.0,55,0,14.0,55,0,0,0.0
2016-03-08,2016,3,8,1,0,2624,47,212,426,0,2365,1026,609,0.4338266384778013,0.25750528541226214,10.7,52,0,10.7,52,0,0,0.0
2016-03-09,2016,3,9,2,0,2624,43,225,0,0,2356,901,523,0.382427843803056,0.22198641765704585,7.2,49,0,7.2,49,0,0,0.0
2016-03-10,2016,3,10,3,0,2624,55,245,290,0,2324,847,525,0.3644578313253012,0.22590361445783133,6.1,49,0,6.1,49,0,0,0.0
2016-03-11,2016,3,11,4,0,2624,108,275,76,0,2241,728,591,0.3248549754573851,0.2637215528781794,5.0,47,0,5.0,47,0,0,0.0
2016-03-14,2016,3,14,0,0,2624,61,183,376,0,2380,1286,586,0.5403361344537815,0.246218487394958,10.9,52,0,10.9,52,0,0,0.0
2016-03-15,2016,3,15,1,0,2624,38,231,399,0,2355,958,545,0.40679405520169853,0.23142250530785563,11.8,53,0,11.8,53,0,0,0.0
2016-03-16,2016,3,16,2,0,2624,50,213,0,0,2361,998,531,0.4227022448115205,0.22490470139771285,14.3,56,0,14.3,56,0,0,0.0
2016-03-17,2016,3,17,3,0,2624,52,242,327,0,2330,832,548,0.35708154506437767,0.2351931330472103,17.3,58,0,17.3,58,0,0,0.0
2016-03-18,2016,3,18,4,0,2624,118,277,57,0,2229,757,521,0.3396141767608793,0.23373710183938987,12.3,50,1,12.3,50,1,0,0.0
2016-03-21,2016,3,21,0,0,2624,65,205,329,0,2354,1030,605,0.43755310110450296,0.2570093457943925,14.7,55,0,14.7,55,0,0,0.0
2016-03-22,2016,3,22,1,0,2624,41,208,378,0,2375,917,585,0.38610526315789473,0.2463157894736842,16.1,57,0,16.1,57,0,0,0.0
2016-03-23,2016,3,23,2,0,2624,42,236,0,0,2346,963,544,0.41048593350383633,0.2318840579710145,17.3,58,0,17.3,58,0,0,0.0
2016-03-24,2016,3,24,3,0,2624,53,251,293,0,2320,876,507,0.3775862068965517,0.2185344827586207,11.2,52,0,11.2,52,0,0,0.0
2016-03-25,2016,3,25,4,0,2624,98,275,59,0,2251,861,523,0.38249666814749,0.23234118169702356,10.8,50,0,10.8,50,0,0,0.0
2016-03-28,2016,3,28,0,0,2624,77,197,299,0,2350,1193,637,0.5076595744680851,0.27106382978723403,17.0,58,0,17.0,58,0,0,0.0
2016-03-29,2016,3,29,1,0,2624,52,245,259,0,2327,892,465,0.38332617103566824,0.19982810485603783,15.9,58,0,15.9,58,0,0,0.0
2016-03-30,2016,3,30,2,0,2624,48,230,0,0,2346,1033,463,0.4403239556692242,0.19735720375106564,20.1,62,0,20.1,62,0,0,0.0
2016-03-31,2016,3,31,3,0,2624,36,248,158,0,2340,781,526,0.33376068376068374,0.2247863247863248,20.3,61,0,20.3,61,0,0,0.0
2016-04-01,2016,4,1,4,0,2643,103,254,47,0,2286,661,591,0.2891513560804899,0.2585301837270341,22.7,64,0,22.7,64,0,0,0.0
2016-04-04,2016,4,4,0,0,2643,62,221,367,0,2360,1237,614,0.5241525423728813,0.26016949152542374,13.3,53,0,13.3,53,0,0,0.0
2016-04-05,2016,4,5,1,0,2643,31,242,370,0,2370,840,555,0.35443037974683544,0.23417721518987342,17.6,59,0,17.6,59,0,0,0.0
2016-04-06,2016,4,6,2,0,2643,37,249,0,0,2357,876,492,0.37165888841747985,0.20873992363173527,21.0,62,0,21.0,62,0,0,0.0
2016-04-07,2016,4,7,3,0,2643,47,258,339,0,2338,853,524,0.36484174508126604,0.22412318220701455,15.1,55,0,15.1,55,0,0,0.0
2016-04-08,2016,4,8,4,0,2643,87,283,64,0,2273,764,542,0.3361196656401232,0.23845138583369996,21.2,63,0,21.2,63,0,0,0.0
2016-04-11,2016,4,11,0,0,2643,82,203,392,0,2358,1225,536,0.5195080576759966,0.22731128074639526,12.1,51,0,12.1,51,0,0,0.0
2016-04-12,2016,4,12,1,1,2643,76,225,239,0,2342,771,500,0.3292058070025619,0.2134927412467976,15.6,57,0,15.6,57,0,0,0.0
2016-04-14,2016,4,14,3,0,2643,106,252,326,0,2285,969,562,0.42407002188183807,0.24595185995623634,23.2,65,0,23.2,65,0,0,0.0
2016-04-15,2016,4,15,4,0,2643,131,281,82,0,2231,579,582,0.2595248767368893,0.2608695652173913,20.4,62,0,20.4,62,0,0,0.0
2016-04-18,2016,4,18,0,0,2643,81,225,330,0,2337,1120,525,0.4792468977321352,0.2246469833119384,18.9,60,0,18.9,60,0,0,0.0
2016-04-19,2016,4,19,1,0,2643,44,239,387,0,2360,980,449,0.4152542372881356,0.1902542372881356,19.8,61,0,19.8,61,0,0,0.0
2016-04-20,2016,4,20,2,0,2643,47,262,0,0,2334,849,504,0.36375321336760924,0.2159383033419023,21.1,62,0,21.1,62,0,0,0.0
2016-04-21,2016,4,21,3,0,2643,66,264,312,0,2313,940,531,0.40639861651534803,0.22957198443579765,16.9,57,1,16.9,57,1,0,0.0
2016-04-22,2016,4,22,4,0,2643,150,275,86,0,2218,698,557,0.3146979260595131,0.2511271415689811,22.8,66,0,22.8,66,0,0,0.0
2016-04-25,2016,4,25,0,0,2643,96,201,281,0,2346,1227,528,0.5230179028132992,0.22506393861892582,23.8,65,0,23.8,65,0,0,0.0
2016-04-26,2016,4,26,1,0,2643,51,227,304,0,2365,795,568,0.3361522198731501,0.240169133192389,25.7,68,0,25.7,68,0,0,0.0
2016-04-27,2016,4,27,2,0,2643,71,234,0,0,2338,1028,490,0.43969204448246363,0.20958083832335328,12.7,53,1,12.7,53,1,0,0.0
2016-04-28,2016,4,28,3,0,2643,56,269,196,0,2318,811,508,0.34987057808455563,0.2191544434857636,18.0,59,0,18.0,59,0,0,0.0
2016-04-29,2016,4,29,4,0,2643,139,282,28,0,2222,652,507,0.2934293429342934,0.22817281728172817,20.4,61,0,20.4,61,0,0,0.0
2016-05-02,2016,5,2,0,0,2635,80,214,302,0,2341,1242,551,0.5305425032037591,0.23536950021358394,23.4,68,0,23.4,68,0,0,0.0
2016-05-03,2016,5,3,1,0,2635,65,251,292,0,2319,964,515,0.4156964208710651,0.22207848210435532,20.4,64,1,20.4,64,1,0,0.0
2016-05-04,2016,5,4,2,1,2635,150,244,0,0,2241,723,636,0.32262382864792505,0.2838018741633199,24.0,66,0,24.0,66,0,0,0.0
2016-05-09,2016,5,9,0,0,2635,101,233,344,0,2301,1216,591,0.5284658843980878,0.25684485006518903,21.7,64,0,21.7,64,0,0,0.0
2016-05-10,2016,5,10,1,0,2635,53,252,350,0,2330,1008,519,0.43261802575107294,0.22274678111587984,17.3,59,1,17.3,59,1,0,0.0
2016-05-11,2016,5,11,2,0,2635,60,266,0,0,2309,915,423,0.39627544391511477,0.18319618882633174,20.7,63,0,20.7,63,0,0,0.0
2016-05-12,2016,5,12,3,0,2635,71,274,315,0,2290,753,532,0.32882096069868993,0.23231441048034934,23.9,66,0,23.9,66,0,0,0.0
2016-05-13,2016,5,13,4,0,2635,185,268,80,0,2182,761,517,0.34876260311640694,0.2369385884509624,22.0,64,0,22.0,64,0,0,0.0
2016-05-16,2016,5,16,0,0,2635,99,216,368,0,2320,1180,594,0.5086206896551724,0.2560344827586207,19.0,61,0,19.0,61,0,0,0.0
2016-05-17,2016,5,17,1,0,2635,41,254,377,0,2340,899,633,0.3841880341880342,0.2705128205128205,25.3,66,0,25.3,66,0,0,0.0
2016-05-18,2016,5,18,2,0,2635,71,257,0,0,2307,856,456,0.37104464672735155,0.1976592977893368,29.7,71,0,29.7,71,0,0,0.0
2016-05-19,2016,5,19,3,0,2635,65,266,264,0,2304,898,529,0.3897569444444444,0.22960069444444445,27.3,69,0,27.3,69,0,0,0.0
2016-05-20,2016,5,20,4,0,2635,169,287,56,0,2179,653,487,0.2996787517209729,0.22349701698026617,28.2,70,0,28.2,70,0,0,0.0
